,Walk Time,Bike Time,Bus Time
170,10000000.0,44554.75,47715.0
171,32846.261,7768.607,10000000.0
172,112235.101,25127.951,10000000.0
173,48396.5,10923.375,10000000.0
174,42918.128,11052.758,10000000.0
175,41914.125,11105.57,10095.0
176,45234.171,9840.972,5835.0
177,76327.164,19822.392,10000000.0
178,78444.64,20217.175,11415.0
179,10000000.0,47646.375,45915.0
180,95658.64,25508.576,10000000.0
181,97671.171,24157.847,15435.0
182,30967.591,7757.714,8715.0
183,42912.316,10898.012,10095.0
184,98005.882,23869.625,13995.0
185,10000000.0,22894.222,17895.0
186,29279.794,6806.054,10000000.0
187,10000000.0,47767.222,47355.0
188,74769.632,18988.492,10000000.0
189,10000000.0,39458.601,10000000.0
190,57549.769,15428.4,10395.0
191,97361.976,25675.189,17595.0
192,102557.07,26238.585,22335.0
193,103533.476,27580.457,10000000.0
194,38453.21,9955.363,12255.0
195,54119.39,13890.059,10000000.0
196,44653.015,11407.298,11475.0
197,38890.14,9213.375,10000000.0
198,85024.843,21710.201,10000000.0
199,48696.285,12997.894,10455.0
200,38479.914,10402.153,5595.0
201,10000000.0,46790.167,10000000.0
202,98559.687,25188.414,15195.0
203,61619.554,16174.04,10000000.0
204,55398.628,13937.389,10000000.0
205,24729.189,6163.34,7095.0
206,10000000.0,51795.328,47655.0
207,60189.398,15772.273,10000000.0
208,32582.269,7736.442,10000000.0
209,98591.187,27069.953,10515.0
210,101368.164,23084.962,10000000.0
211,42143.941,10286.203,9975.0
212,35020.718,8567.545,10000000.0
213,39594.214,9791.823,10000000.0
214,99199.171,23122.224,10000000.0
215,92592.718,22950.736,16395.0
216,33550.695,8367.961,10215.0
217,10000000.0,50695.414,47055.0
218,43014.375,11209.978,13455.0
219,35667.82,8629.682,5355.0
220,10000000.0,45410.132,47235.0
221,10000000.0,17384.343,20055.0
222,99100.648,29444.416,10000000.0
223,48380.234,11892.831,10000000.0
224,10000000.0,17498.519,10000000.0
225,41918.921,10974.074,7815.0
226,44721.82,11529.611,9495.0
227,38353.187,10034.782,11235.0
228,49585.535,12311.791,10000000.0
229,36641.683,8912.375,12975.0
230,10000000.0,45071.808,50235.0
231,100643.968,23732.369,10000000.0
232,43360.906,11219.08,10095.0
233,53501.726,14524.274,11415.0
234,91679.273,29115.017,18255.0
235,44710.859,11255.822,9555.0
236,10000000.0,44285.117,46635.0
237,44314.48,10857.964,10000000.0
238,36654.226,8964.675,10000000.0
239,10000000.0,45877.136,47415.0
240,33720.187,8028.462,10000000.0
241,92918.289,27065.673,17415.0
242,59165.007,16006.2,11295.0
243,41432.773,10043.151,10000000.0
244,10000000.0,47027.394,48195.0
245,10000000.0,16962.605,10000000.0
246,56784.972,15245.001,10755.0
247,57187.238,14889.643,11775.0
248,113455.914,26534.916,10275.0
249,10000000.0,23000.484,15375.0
250,10000000.0,15725.203,10000000.0
251,10000000.0,23088.548,10000000.0
252,30328.05,7315.929,6135.0
253,10000000.0,16903.828,10000000.0
254,40518.421,10482.359,13335.0
255,38751.632,10066.433,13455.0
256,39932.589,10266.831,8055.0
257,55220.199,15044.773,10155.0
258,79190.937,20624.83,14295.0
259,71525.914,18958.494,10395.0
260,10000000.0,21474.634,10000000.0
261,96084.375,25598.322,20475.0
262,10000000.0,49687.273,10000000.0
263,10000000.0,22865.419,10000000.0
264,38499.734,9972.047,14835.0
265,44486.117,11606.999,6855.0
266,29364.152,7129.258,10000000.0
267,41986.98,11481.964,10815.0
268,51520.804,13145.394,10000000.0
269,102777.375,28683.857,14835.0
270,10000000.0,49217.351,49095.0
271,105094.617,28503.273,10000000.0
272,53272.449,12554.833,11295.0
273,37829.902,9393.396,10000000.0
274,42873.636,11155.267,11535.0
275,43589.91,10883.932,9675.0
276,96769.554,22373.437,10000000.0
277,10000000.0,24018.441,10875.0
278,36586.207,8749.827,10000000.0
279,65246.304,15961.516,10000000.0
280,10000000.0,50842.781,10000000.0
281,43233.734,11427.198,10935.0
282,41141.285,11093.473,13395.0
283,54866.656,13686.543,10000000.0
284,10000000.0,16969.392,14415.0
285,35840.386,8349.708,10000000.0
286,47098.117,12560.67,10000000.0
287,10000000.0,40325.035,10000000.0
288,10000000.0,47440.8,10000000.0
289,45622.546,11687.088,11835.0
290,10000000.0,22369.308,10000000.0
291,36342.371,8728.883,10000000.0
292,35614.503,8627.858,12555.0
293,10000000.0,21136.027,15135.0
294,27918.324,6410.85,7095.0
295,35782.144,8859.937,11415.0
296,89523.054,22623.972,10000000.0
297,53164.519,12538.91,10635.0
298,28528.632,6586.156,10000000.0
299,40811.691,10538.063,10000000.0
